title,overview,release_date,genres,popularity,vote_average,vote_count
Flight World War II,"International Flight 42 is on course, when all of a sudden a massive and weird storm crops up around the plane. This sends the plane back in time to the year 1940- smack dab in the middle of WWII! Now, the crew and passengers must not only find a way back to their time, but fight off the Axis powers.",2015-06-02,"Action, Science Fiction, War",10.074,4.6,40
Lawnmower Man 2: Beyond Cyberspace,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",1996-01-12,"Science Fiction, Horror, Action, Thriller",10.073,2.9,118
iCarly: iGo to Japan,"Carly, Sam and Freddie kick off their adventure in Japan on a tin can of a plane packed with caged possums and piloted by Spencer's odd acquaintance.",2008-11-08,"Comedy, Family",10.07,6.8,158
Screamers,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",1995-09-08,"Horror, Science Fiction",10.069,6.2,468
Wicked Deeds,A wife begins to confuse fantasy with reality after she is seduced by the hot tub repairman and others while her husband is out of town.,2016-02-01,"Mystery, Thriller",10.069,7.8,6
Rufus 2,Rufus is a dog but turns into a human with a pendant. He meets a girl named Kat who asks him to go out. Kat is a cat who can also turn into a human as well.,2018-04-16,"TV Movie, Family, Comedy, Fantasy",10.063,7.6,48
Noel,"Christmas Eve in New York, and the lonely divorced publisher, Rose Collins, needs a miracle to improve the health of her mother, interned in a hospital with Alzheimers. She feels sorry for another patient and meets his visitor. Meanwhile, Nina Vasquez breaks her engagement with her beloved fiancé Mike due to his suffocating jealousy, but misses him. Mike is stalked by a stranger, bartender Artie Venzuela. The poor Jules arranges to spend Christmas Eve in the hospital, where he spent the best Christmas of his life when he was a teenager. The lives of some of these characters cross with others along the night.",2004-11-12,"Drama, Romance",10.06,5.9,263
Someone Great,"An aspiring music journalist lands her dream job and is about to move to San Francisco when her boyfriend of nine years decides to call it quits. To nurse her broken heart, she and her two best friends spend one outrageous last adventure in New York City.",2019-04-19,"Comedy, Romance",10.053,6.4,1111
The Killer Inside Me,"Deputy Sheriff Lou Ford is a pillar of the community in his small west Texas town, patient and apparently thoughtful. Some people think he is a little slow and maybe boring, but that is the worst they say about him. But then nobody knows about what Lou calls his ""sickness"": He is a brilliant, but disturbed sociopathic sadist.",2010-02-19,"Crime, Drama, Thriller",10.052,5.8,509
Posse,A tough marshal with political ambitions leads an elite posse to capture a notorious train robber and his gang.,1975-06-04,Western,10.051,5.8,55
Rabbit Hole,Life for a happy couple is turned upside down after their young son dies in an accident.,2010-12-16,Drama,10.049,6.7,526
With Honors,"Convinced he'll graduate with honors because of his thesis paper, a stuffy Harvard student finds his paper being held hostage by a homeless man, who might be the guy to school the young man in life.",1994-04-29,"Comedy, Drama",10.044,6.8,175
Teen Lust,A shy high schooler struggles to lose his virginity before the local Satanic cult can sacrifice him to the devil.,2014-09-04,"Comedy, Horror",10.042,4.8,62
Amateur Night,"Guy Carter, an insecure expectant father unable to find work in his field, accepts a job driving hookers around Los Angeles. One long and crazy evening proves to our hero that he is, in fact, up to the task of fatherhood.",2016-08-12,Comedy,10.041,5.6,170
You Got Served,"At Mr. Rad's Warehouse, the best hip-hop crews in Los Angeles compete for money and respect. But when a suburban crew crashes the party, stealing their dancers - and their moves - two warring friends have to pull together to represent the street. Starring hip-hop sensations Marques Houston, Omari Grandberry, Lil' Kim and comedian Steve Harvey.",2004-01-30,"Music, Drama",10.041,6.4,381
Malibu Rescue,"When a long list of shenanigans lands Tyler in hot water, he’s forced to suit up and spend his summer training for an elite junior lifeguard program.",2019-05-13,"Action, Comedy, Family",10.039,6.3,180
Avalon High,"Disney Channel's production of Julie Sherman Wolfe's screenplay adaptation of the popular novel Avalon High by Meg Cabot. Elaine ""Ellie"" Harrison has just moved from Minnesota to Annapolis, Maryland while her parents take a year long sabbatical to continue their medieval studies in nearby DC. Her new high school, Avalon High, seems like a typical high school with the stereotypical students: Lance the jock, Jennifer the cheerleader, Marco, the bad boy/desperado, and Will, the senior class president, quarterback, and all around good guy. But not everyone at Avalon High is who they appear to be, not even Ellie herself. Eventually, it becomes apparent that Avalon High is a situation where the ancient Arthurian legend is repeating itself. Will, Jennifer, Lance, Marco, and Mr. Morton all correspond to King Arthur, Queen Guinevere, Knight Lancelot, Mordred, and Merlin, respectively.",2011-01-28,"Fantasy, Family, Drama, TV Movie",10.039,6.2,514
Virtual Revolution,"Paris 2047. Most of the population spend all their time online, connected into virtual worlds, and don't care anymore about reality. A shadow agent, Nash, working for one of the multinational companies behind these virtual worlds, is tracking down terrorists who threaten the system...",2016-10-12,Science Fiction,10.035,5.0,80
"I, Daniel Blake","A middle aged carpenter, who requires state welfare after injuring himself, is joined by a single mother in a similar scenario.",2016-10-21,Drama,10.032,7.7,1240
Hobo with a Shotgun,"A vigilante homeless man pulls into a new city and finds himself trapped in urban chaos, a city where crime rules and where the city's crime boss reigns. Seeing an urban landscape filled with armed robbers, corrupt cops, abused prostitutes and even a pedophile Santa, the Hobo goes about bringing justice to the city the best way he knows how - with a 20-gauge shotgun. Mayhem ensues when he tries to make things better for the future generation. Street justice will indeed prevail.",2011-05-06,"Crime, Action, Thriller",10.032,5.9,541
Demetrius and the Gladiators,"The story picks up at the point where ""The Robe"" ends, following the martyrdom of Diana and Marcellus. Christ's robe is conveyed to Peter for safe-keeping, but the emperor Caligula wants it back to benefit from its powers. Marcellus' former slave Demetrius seeks to prevent this, and catches the eye of Messalina, wife to Caligula's uncle Claudius. Messalina tempts Demetrius, he winds up fighting in the arena, and wavers in his faith.",1954-06-16,"Adventure, History",10.029,6.8,56
Goon: Last of the Enforcers,"During a pro lockout, Doug ""The Thug"" Glatt is injured and must choose whether to defend his team against a dangerous new enemy, or be there for his wife as she prepares to give birth to his daughter.",2017-03-17,Comedy,10.026,5.7,271
Bliss,"A mind-bending love story following Greg who, after recently being divorced and then fired, meets the mysterious Isabel, a woman living on the streets and convinced that the polluted, broken world around them is just a computer simulation. Doubtful at first, Greg eventually discovers there may be some truth to Isabel’s wild conspiracy.",2021-02-05,"Science Fiction, Romance, Drama",10.019,5.5,535
Gwendoline,"A beautiful woman hires an intrepid adventurer to help find her father, who has disappeared in the jungle while searching for a rare and priceless butterfly. Along the way they run into cannibals, a race of Amazon warriors and all the usual attractions one would expect to find in a lost jungle.",1984-02-08,"Adventure, Fantasy, Thriller",10.017,4.9,76
Hardbodies,"Three middle-aged daddies visit California to have a marvelous time at the beach. When they learn that a nice apartment and an expensive cabriolet isn't enough for them to score with the chicks, they employ a student to help them. At first he's as disgusted of them and his job as his girlfriend, but soon they find out how to use the situation to everyone's benefit.",1984-05-04,Comedy,10.016,5.0,48
